,W,DDD,product_count,distance
0,1000,4096,3,884.5005546354118
1,300,4096,1,467.94359523585086
2,400,4096,1,582.2557692441745
3,476,3332,1,507.9502231089684
4,767,4160,1,541.6822063502299
5,2050,14960,1,107.55513086727537
6,9000,2640,1,0.0
7,7811,57960,1,406.7793545191599
8,1800,9600,1,725.4811053535067
9,3100,39200,1,129.7091045360113
10,200,9261,1,359.66329035275345
11,7600,72600,1,0.0
12,2750,40000,1,280.6562596045798
13,300,1768,1,660.9238234206172
14,850,8349,1,933.0026657198675
15,8600,36250,1,0.0
16,300,528,1,0.0
17,1500,14625,2,705.7125168015768
18,610,4928,1,574.8018749064452
19,5470,54432,1,343.89957688663185
20,1200,8400,1,1270.2589355221885
21,2100,18000,1,185.30507269172443
22,1400,8000,1,535.1247572811088
23,1850,10764,1,426.0692299162775
24,600,6174,1,402.49645323626106
25,1200,12500,1,903.8532842353344
26,1400,5376,1,363.5110642567589
27,610,4928,1,766.7749927820595
28,610,4928,1,85.38382681890104
29,1300,8000,2,247.4033275110881
30,610,4928,1,268.73099374670596
31,7600,72600,1,411.6154512055896
32,1800,15960,1,15.860920661702124
33,2000,8000,1,338.4160264555736
34,1700,4624,1,0.0
35,300,5304,1,609.9620281286736
36,1800,11200,1,359.66329035275345
37,100,8000,1,574.8018749064452
38,100,8000,1,910.7232325560174
39,1450,20300,2,507.9502231089684
40,250,2700,1,0.0
41,2500,10179,1,285.68163299682703
42,3325,70574,1,1027.6371791408483
43,1400,8000,1,884.5005546354118
44,10500,69642,1,89.74547838782331
45,350,4998,1,574.8018749064452
46,4700,24640,1,649.6035020915609
47,175,648,1,16.384028256539267
48,4700,24640,1,407.20260761957263
49,5524,43512,1,559.7856018982636
50,1836,18480,1,141.43846257487343
51,1400,8000,1,520.5346722778482
52,13300,78400,1,426.0692299162775
53,675,4368,1,359.66329035275345
54,800,7072,2,770.3370757818163
55,1029,5100,1,766.7749927820595
56,200,18000,2,800.1745243155735
57,300,3024,1,636.7367208680658
58,5524,43512,2,572.0773451901251
59,1000,4374,1,509.71874800001257
60,300,352,1,486.13219492372735
61,250,4200,1,1735.0159317950174
62,338,6912,1,190.94382502861083
63,1000,8000,1,123.60678882649219
64,667,25575,1,507.9502231089684
65,2138,36036,1,317.2178843925245
66,443,4641,1,679.0729914374045
67,1200,12012,1,328.8636918244621
68,610,4928,1,309.6239796488104
69,10500,69642,1,120.10591471413332
70,900,8000,1,359.66329035275345
71,100,4500,1,770.3370757818163
72,100,8000,1,85.38382681890104
73,610,4928,1,2256.7666151106846
74,600,5600,6,317.344762710283
75,2400,27000,1,0.0
76,150,3952,2,600.5753653317215
77,2300,22464,1,0.0
78,300,704,1,486.13219492372735
79,795,11700,1,572.0773451901251
80,30000,155200,1,1752.3565653962892
81,5333,38988,4,347.97696770509526
82,7811,57960,1,399.4234538926914
83,400,1344,1,411.6154512055896
84,5470,54432,1,344.6664989405892
85,900,18496,5,483.6964345416503
86,1500,9075,1,1000.3436385056231
87,200,3040,1,294.2333985720693
88,5250,39780,1,479.6813526897761
89,443,4641,1,706.9788236103936
90,600,54000,1,12.496662554589673
91,3300,8464,1,125.19965189134189
92,2300,22500,1,0.0
93,1850,47952,1,233.60134481862778
94,200,11340,1,288.1456856359993
95,1500,18816,1,379.71522893620306
96,2400,11200,1,250.84331932677293
97,5400,2700,2,464.3050304425527
98,413,3420,1,695.3726494664733
99,17400,80000,1,551.743750011809
100,250,2592,2,294.2333985720693
101,200,2378,1,414.9743495299005
102,408,4760,1,854.1651942858676
103,400,6384,1,682.6292563682174
104,214,2431,1,858.0152733953254
105,879,11160,1,209.80888457899974
106,610,4928,2,766.7749927820595
107,457,3648,1,359.66329035275345
108,5470,54432,1,154.64374402877345
109,1400,7644,1,495.03588420822166
110,1500,40000,1,530.4098991029709
111,373,3927,1,411.6154512055896
112,925,32000,1,477.9407905405489
113,100,4096,1,0.0
114,400,2000,1,557.2011862904205
115,3100,8976,2,649.6035020915609
116,3100,8976,2,89.74547838782331
117,1400,9600,1,391.9287739174002
118,1900,12925,2,988.7428184471895
119,100,4500,1,574.8018749064452
120,2550,21560,1,242.8481943894111
121,2093,50286,1,123.60678882649219
122,450,5824,1,79.8160160555461
123,341,5760,1,563.8617915651852
124,7550,42875,1,535.8398413892423
125,1333,13800,1,628.7643868680815
126,400,7560,1,583.2496286848246
127,200,1584,2,514.499674617344
128,800,18600,1,496.9920863529386
129,500,8000,1,359.66329035275345
130,200,528,1,0.0
131,300,6000,1,186.86831307126363
132,7600,49000,1,425.491026387527
133,610,4928,1,766.7749927820595
134,1800,15960,1,439.5639281122651
135,500,4000,1,401.2506231615751
136,150,1980,1,467.94359523585086
137,800,10868,3,644.5126446778555
138,5470,54432,1,107.55513086727537
