,delta_time
0,55
1,23
2,24
3,36
4,31
5,28
6,11
7,31
8,29
9,18
10,20
11,45
12,35
13,20
14,44
15,22
16,36
17,7
18,13
19,28
20,13
21,52
22,24
23,13
24,14
25,7
26,22
27,27
28,27
29,22
30,27
31,9
32,20
33,24
34,44
35,34
36,30
37,17
38,9
39,25
40,48
41,9
42,27
43,56
44,31
45,27
46,44
47,9
48,44
49,30
50,32
51,34
52,14
53,69
54,13
55,9
56,35
57,9
58,31
59,27
60,26
61,11
62,12
63,43
64,26
65,9
66,21
67,9
68,8
69,40
70,8
71,23
72,8
73,30
74,21
75,43
76,22
77,19
78,13
79,8
80,20
81,33
82,26
83,19
84,27
85,13
86,19
87,52
88,15
89,11
90,26
91,12
92,8
93,13
94,14
95,25
96,21
97,25
98,22
99,70
100,33
101,25
102,7
103,21
104,21
105,32
106,32
107,21
108,26
109,18
110,21
111,12
112,18
113,11
114,41
115,42
116,42
117,21
118,32
119,7
120,35
121,8
122,11
123,25
124,8
125,9
126,20
127,7
128,18
129,12
130,8
131,9
132,18
133,21
134,14
135,12
136,18
137,20
138,27
139,8
140,7
141,7
142,11
143,31
144,13
145,25
146,11
147,33
148,13
149,24
150,7
151,20
152,20
153,7
154,7
155,8
156,12
157,12
158,11
159,11
160,24
161,7
162,7
163,20
164,19
165,13
166,17
167,23
168,7
169,7
170,13
171,40
172,7
173,18
174,21
175,21
176,19
177,9
178,9
179,12
180,32
181,18
182,17
183,19
184,27
185,20
186,41
187,19
188,7
189,7
190,7
191,16
192,7
193,23
194,17
195,7
196,7
197,7
198,18
199,12
200,7
201,8
202,11
203,8
204,11
205,8
206,18
207,20
208,7
209,31
210,7
211,7
212,18
213,7
214,12
215,19
216,19
217,8
218,10
219,18
220,32
221,31
222,22
223,9
224,8
225,6
226,8
227,8
228,18
229,23
230,8
231,5
232,37
233,37
234,10
235,8
236,31
237,7
238,5
239,7
240,8
241,22
242,17
243,11
244,45
245,14
246,45
247,7
248,18
249,8
250,7
251,9
252,17
253,65
254,28
255,14
256,15
257,18
258,16
259,7
260,7
261,9
262,49
263,22
264,11
265,21
266,5
267,6
268,12
269,11
270,11
271,12
272,11
273,11
274,11
275,11
276,12
277,12
278,11
279,11
280,11
281,11
282,12
283,11
284,12
285,12
286,11
287,12
288,11
289,11
290,11
291,11
292,11
293,12
294,7
295,11
296,11
297,8
298,8
299,7
300,7
301,6
302,58
303,11
304,18
305,10
306,9
307,4
308,9
309,11
310,46
311,7
312,4
313,9
314,52
315,10
316,17
317,10
318,16
319,10
320,13
321,6
322,7
323,5
324,5
325,7
326,13
327,9
328,8
329,8
330,7
331,6
332,104
333,27
334,14
335,12
336,43
337,8
338,33
339,7
340,19
341,5
342,10
343,7
344,13
345,8
346,12
347,10
348,7
349,13
350,11
351,13
352,11
353,4
354,20
355,10
356,16
357,59
358,12
359,16
360,16
361,11
362,17
363,11
364,11
365,10
366,10
367,8
368,16
369,8
370,12
371,5
372,29
373,11
374,10
375,13
376,11
377,5
378,25
379,16
380,12
381,11
382,10
383,36
384,9
385,9
386,4
387,38
388,7
389,10
390,9
391,14
392,11
393,8
394,8
395,10
396,11
397,8
398,7
399,9
400,6
401,7
402,13
403,7
404,18
405,8
406,3
407,10
408,22
409,13
410,13
411,7
412,9
413,16
414,15
415,14
416,10
417,11
418,14
419,10
420,24
421,10
422,14
423,8
424,9
425,6
426,9
427,10
428,15
429,12
430,12
431,8
432,48
433,2
434,13
435,22
436,8
437,12
438,19
439,29
440,7
441,12
442,7
443,16
444,6
445,16
446,9
447,19
448,13
449,8
450,13
451,9
452,9
453,8
454,8
455,13
456,6
457,22
458,12
459,11
460,8
461,7
462,13
463,7
464,63
465,63
466,18
467,7
468,7
469,8
470,19
471,12
472,4
473,7
474,13
475,22
476,11
477,8
478,8
479,4
480,5
481,18
482,11
483,11
484,11
485,7
486,13
487,11
488,4
489,5
490,11
491,10
492,31
493,10
494,7
495,10
496,11
497,14
498,14
499,28
500,19
501,13
502,6
503,13
504,21
505,18
506,10
507,5
508,7
509,10
510,6
511,6
512,18
513,8
514,8
515,10
516,9
517,12
518,9
519,10
520,6
521,17
522,12
523,19
524,10
525,6
526,16
527,9
528,9
529,5
530,12
531,19
532,23
533,19
534,19
535,16
536,11
537,19
538,17
539,16
540,9
541,11
542,10
543,8
544,5
545,8
546,8
547,5
548,12
549,10
550,8
551,8
552,8
553,8
554,6
555,15
556,19
557,10
558,6
559,12
560,6
561,12
562,11
563,4
564,12
565,6
566,10
567,4
568,12
569,4
570,40
571,8
572,10
573,15
574,4
575,7
576,9
577,10
578,7
579,7
580,15
581,21
582,11
583,8
584,10
585,10
586,11
587,15
588,22
589,4
590,7
591,7
592,3
593,8
594,93
595,17
596,10
597,15
598,7
599,11
600,4
601,9
602,7
603,15
604,13
605,6
606,6
607,13
608,6
609,9
610,9
611,15
612,15
613,7
614,15
615,14
616,7
617,17
618,6
619,9
620,24
621,10
622,16
623,6
624,8
625,9
626,7
627,8
628,28
629,21
630,7
631,9
632,13
633,6
634,15
635,15
636,10
637,8
638,13
639,18
640,15
641,6
642,6
643,5
644,15
645,1
646,6
647,20
648,9
649,8
650,20
651,8
652,19
653,9
654,8
655,3
656,6
657,12
658,12
659,5
660,22
661,5
662,9
663,5
664,12
665,16
666,5
667,21
668,2
669,8
670,20
671,15
672,8
673,23
674,71
675,14
676,8
677,6
678,19
679,16
680,9
681,12
682,21
683,2
684,9
685,15
686,5
687,14
688,15
689,7
690,23
691,12
692,8
693,12
694,14
695,14
696,7
697,8
698,12
699,11
700,19
701,8
702,60
703,12
704,12
705,7
706,13
707,12
708,18
709,7
710,19
711,14
712,13
713,20
714,19
715,8
716,8
717,6
718,18
719,12
720,7
721,7
722,12
723,11
724,11
725,13
726,27
727,7
728,8
729,6
730,5
731,11
732,11
733,11
734,13
735,13
736,8
737,15
738,18
739,7
740,13
741,8
742,5
743,11
744,26
745,13
746,5
747,22
748,43
749,12
750,11
751,5
752,5
753,18
754,8
755,13
756,44
757,7
758,13
759,8
760,12
761,8
762,12
763,12
764,7
765,8
766,11
767,13
768,8
769,13
770,13
771,19
772,13
773,6
774,20
775,69
776,11
777,14
778,12
779,10
780,11
781,11
782,45
783,24
784,6
785,12
786,11
787,6
788,6
789,17
790,4
791,4
792,10
793,19
794,12
795,19
796,4
797,11
798,27
799,7
800,17
801,7
802,8
803,11
804,16
805,6
806,17
807,26
808,11
809,19
810,6
811,11
812,14
813,17
814,11
815,14
816,14
817,10
818,10
819,20
820,13
821,13
822,10
823,24
824,10
825,6
826,5
827,12
828,13
829,13
830,14
831,10
832,6
833,18
834,20
835,9
836,11
837,12
838,16
839,10
840,12
841,34
842,9
843,4
844,19
845,19
846,13
847,9
848,10
849,13
850,13
851,16
852,3
853,18
854,11
855,9
856,16
857,13
858,23
859,5
860,9
861,11
862,9
863,12
864,16
865,8
866,103
867,17
868,17
869,8
870,10
871,44
872,4
873,10
874,8
875,9
876,10
877,10
878,5
879,10
880,15
881,15
882,4
883,11
884,15
